Date,unleaded,diesel,unleaded-wholesale,diesel-wholesale
2019-06-10,129.71,134.34,96.56,98.27
2019-06-11,120.78,123.18,92.67,94.59
2019-06-12,121.28,130.92,89.33,97.27
2019-07-01,,,90.37,97.64
2019-07-02,,,90.32,99.1
2019-07-03,,,93.63,100.62
2019-07-04,,,96.33,98.18
2019-07-05,,,100.17,101.6
2019-07-06,,,96.06,98.15
2019-07-07,,,100.21,101.62
2019-07-08,,,96.27,93.31
2019-07-09,,,100.07,104.08
2019-07-10,,,99.71,107
2019-07-11,,,94.31,104.13
2019-07-12,,,89.99,97.59
2019-08-01,,,90.2,97.84
2019-08-02,,,90.82,99.49
2019-08-03,,,93.22,100.12
2019-08-04,,,99.67,101.28
2019-08-05,,,100.49,102.08
2019-08-06,,,98.9,101.34
2019-08-07,,,100.28,101.51
2019-08-08,,,101.93,102.61
2019-08-09,,,100.29,103.74
2019-08-11,,,93.23,103.25
2019-08-12,,,88.95,95.96
2019-09-01,,,91.53,98.98
2019-09-02,,,91.63,94.11
2019-09-03,,,94.4,95.76
2019-09-04,,,100.03,101.17
2019-09-05,,,100.3,101.5
2019-09-06,,,98.35,100.31
2019-09-08,,,101.84,102.7
2019-09-09,,,100.6,104.23
2019-09-11,,,93.37,102.72
2019-09-12,,,87.66,94.73
2019-10-01,,,92.1,99.87
2019-10-02,,,91.72,94.7
2019-10-03,,,94.42,95.42
2019-10-04,,,100.91,101.32
2019-10-05,,,101.51,101.88
2019-10-06,,,98.93,100.91
2019-10-08,,,102.62,103.33
2019-10-11,,,92.26,101.77
2019-11-01,,,91.65,99.44
2019-11-02,,,91.01,99.53
2019-11-03,,,93.67,100.13
2019-11-04,,,100.87,101.4
2019-11-05,,,101.77,104.09
2019-11-06,,,96.97,98.15
2019-11-07,,,100.86,102.02
2019-11-08,,,102.81,103.87
2019-11-10,,,98.65,106.6
2019-11-11,,,90.67,100.74
2019-12-01,,,93.95,95.74
2019-12-02,,,91.51,99.9
2019-12-03,,,93.8,99.98
2019-12-04,,,100.7,101.39
2019-12-05,,,101.68,104.08
2019-12-06,,,96.3,97.56
2019-12-07,,,101.36,102.26
2019-12-08,,,103.54,104.63
2019-12-09,,,101.32,105.01
2019-12-10,,,98.61,106.82
2020-01-01,,,94.09,95.97
2020-01-02,,,92.18,100.57
2020-01-03,,,93.73,99.68
2020-01-04,,,97.01,98.92
2020-01-05,,,101.75,102.34
2020-01-06,,,96.5,98.08
2020-01-07,,,101.66,102.35
2020-01-09,,,101.2,105.74
2020-01-10,,,98.3,107.66
2020-02-01,,,91.18,99.28
2020-02-02,,,92.9,100.9
2020-02-03,,,93.89,99.58
2020-02-04,,,97.28,99.48
2020-02-05,,,101.59,102.27
2020-02-06,,,99.09,101.03
2020-02-07,,,102.27,102.85
2020-02-09,,,100.77,105.49
2020-02-10,,,98.35,108.09
2020-03-01,,,90.85,98.82
2020-03-02,,,93.58,101.81
2020-03-03,,,93.16,99.32
2020-03-04,,,100.24,101.12
2020-03-05,,,102.67,103.31
2020-03-06,,,100.75,102.68
2020-03-07,,,102.55,102.94
2020-03-09,,,101.28,105.93
2020-03-11,,,90.72,100.64
2020-03-12,,,88.69,94.64
2020-04-01,,,90.77,99.19
2020-04-02,,,91.82,94.56
2020-04-04,,,100.1,101.53
2020-04-05,,,104.2,104.41
2020-04-06,,,100.82,102.79
2020-04-08,,,103.32,104.85
2020-04-09,,,101.72,107.11
2020-04-11,,,90.04,99.45
2020-04-12,,,87.83,93.62
2020-05-01,,,90.41,98.91
2020-05-03,,,94.63,95.78
2020-05-04,,,100.55,102
2020-05-05,,,104.44,104
2020-05-06,,,101.36,102.94
2020-05-08,,,102.69,104.34
2020-05-10,,,99.41,107.97
2020-05-11,,,90.66,99.04
2020-06-01,,,91.36,99.7
2020-06-02,,,93.24,101.25
2020-06-03,,,94.01,99.35
2020-06-04,,,100.78,102.13
2020-06-05,,,100.85,103.42
2020-06-07,,,102.34,102.7
2020-06-08,,,103.21,104.64
2020-06-10,,,99.27,107.68
2020-06-11,,,90.72,98.75
2020-07-01,,,93.88,95.4
2020-07-02,,,92.83,100.47
2020-07-03,,,94.01,99.54
2020-07-05,,,100.82,103.2
2020-07-07,,,102.36,102.33
2020-07-08,,,103.42,104.75
2020-07-10,,,99.07,108.14
2020-08-02,,,93.15,100.96
2020-08-03,,,95.05,100.35
2020-08-05,,,104.02,103.64
2020-09-01,,,91.25,99.52
2020-09-02,,,93.43,101.08
2020-09-03,,,97.36,100.28
2020-09-05,,,103.83,103.09
2020-10-01,,,90.33,98.7
2020-10-02,,,93.32,101.24
2020-10-03,,,96.64,98.99
2020-10-05,,,103.44,102.63
2020-11-01,,,89.9,98.72
2020-11-04,,,102.17,102.96
2020-11-05,,,102.15,101.03
2020-12-01,,,89.56,98.45
2020-12-04,,,101.82,102.74
2020-12-05,,,102.51,100.93
2021-01-01,,,89.76,98.15
2021-01-02,,,92.06,100.25
2021-01-03,,,97.53,99.61
2021-01-04,,,102.21,102.99
2021-02-02,,,91.67,100.18
2021-02-03,,,97.92,99.64
2021-02-04,,,101.31,101.41
2021-03-02,,,91.86,100.35
2021-03-03,,,97.45,99.66
2021-04-01,,,88.86,97.4
2021-04-02,,,91.93,100.47
2021-04-03,,,97.29,99.37
2021-04-05,,,103.6,101.78
2021-05-01,,,89.57,98.37
2021-05-03,,,98.27,99.9
2021-05-04,,,101.93,101.93
2021-05-05,,,102.15,101.27
2021-06-01,,,90.62,98.9
2021-06-04,,,102.15,102.13
2021-06-05,,,101.76,100.86
2021-07-01,,,90.63,98.92
2021-07-05,,,100.48,99.55
